,Spot_Price,Wind_Production
2024-01-01 00:00:00+02:00,40.01,2158.675
2024-01-01 01:00:00+02:00,38.37,2406.125
2024-01-01 02:00:00+02:00,28.46,2888.125
2024-01-01 03:00:00+02:00,26.66,3161.575
2024-01-01 04:00:00+02:00,24.48,3099.6
2024-01-01 05:00:00+02:00,24.01,2951.075
2024-01-01 06:00:00+02:00,21.23,2796.925
2024-01-01 07:00:00+02:00,22.62,2852.875
2024-01-01 08:00:00+02:00,25.04,3019.925
2024-01-01 09:00:00+02:00,26.24,2999.575
2024-01-01 10:00:00+02:00,32.21,2931.275
2024-01-01 11:00:00+02:00,41.34,2971.825
2024-01-01 12:00:00+02:00,43.51,2658.475
2024-01-01 13:00:00+02:00,58.64,2421.875
2024-01-01 14:00:00+02:00,61.14,2438.425
2024-01-01 15:00:00+02:00,60.34,2485.0
2024-01-01 16:00:00+02:00,77.56,2642.775
2024-01-01 17:00:00+02:00,68.4,2518.45
2024-01-01 18:00:00+02:00,74.16,2363.475
2024-01-01 19:00:00+02:00,65.01,2541.575
2024-01-01 20:00:00+02:00,55.91,2659.975
2024-01-01 21:00:00+02:00,48.15,2575.075
2024-01-01 22:00:00+02:00,64.94,2538.125
2024-01-01 23:00:00+02:00,53.6,2491.75
2024-01-02 00:00:00+02:00,43.99,2393.375
2024-01-02 01:00:00+02:00,55.5,2207.675
2024-01-02 02:00:00+02:00,49.94,1898.95
2024-01-02 03:00:00+02:00,47.26,1691.3
2024-01-02 04:00:00+02:00,53.5,1546.75
2024-01-02 05:00:00+02:00,76.48,1528.05
2024-01-02 06:00:00+02:00,180.05,1498.675
2024-01-02 07:00:00+02:00,250.01,1495.8
2024-01-02 08:00:00+02:00,483.08,1607.25
2024-01-02 09:00:00+02:00,300.07,1700.4
2024-01-02 10:00:00+02:00,250.01,1570.0
2024-01-02 11:00:00+02:00,241.94,1396.55
2024-01-02 12:00:00+02:00,159.47,1332.4
2024-01-02 13:00:00+02:00,149.99,1388.9250000000002
2024-01-02 14:00:00+02:00,149.99,1467.125
2024-01-02 15:00:00+02:00,165.8,1445.35
2024-01-02 16:00:00+02:00,250.02,1529.275
2024-01-02 17:00:00+02:00,226.21,1515.95
2024-01-02 18:00:00+02:00,196.9,1524.4
2024-01-02 19:00:00+02:00,250.01,1525.525
2024-01-02 20:00:00+02:00,196.91,1740.55
2024-01-02 21:00:00+02:00,105.7,1780.85
2024-01-02 22:00:00+02:00,149.52,1653.325
2024-01-02 23:00:00+02:00,90.38,1459.425
2024-01-03 00:00:00+02:00,86.69,1363.3500000000001
2024-01-03 01:00:00+02:00,49.08,1495.225
2024-01-03 02:00:00+02:00,56.76,1640.05
2024-01-03 03:00:00+02:00,56.11,1863.925
2024-01-03 04:00:00+02:00,57.96,1925.775
2024-01-03 05:00:00+02:00,70.17,1940.1
2024-01-03 06:00:00+02:00,86.7,1901.55
2024-01-03 07:00:00+02:00,118.79,1800.975
2024-01-03 08:00:00+02:00,131.51,1877.0749999999998
2024-01-03 09:00:00+02:00,132.95,1851.55
2024-01-03 10:00:00+02:00,128.81,1879.15
2024-01-03 11:00:00+02:00,98.93,1760.4
2024-01-03 12:00:00+02:00,129.91,1625.9
2024-01-03 13:00:00+02:00,118.79,1488.0
2024-01-03 14:00:00+02:00,97.05,1502.575
2024-01-03 15:00:00+02:00,96.19,1592.65
2024-01-03 16:00:00+02:00,119.02,1816.875
2024-01-03 17:00:00+02:00,129.91,2022.175
2024-01-03 18:00:00+02:00,147.62,2039.3000000000002
2024-01-03 19:00:00+02:00,118.8,1963.075
2024-01-03 20:00:00+02:00,99.12,1948.85
2024-01-03 21:00:00+02:00,85.82,1863.925
2024-01-03 22:00:00+02:00,99.95,1889.05
2024-01-03 23:00:00+02:00,86.97,1907.0
2024-01-04 00:00:00+02:00,58.4,1857.075
2024-01-04 01:00:00+02:00,129.25,1822.175
2024-01-04 02:00:00+02:00,106.34,1814.95
2024-01-04 03:00:00+02:00,94.42,1706.75
2024-01-04 04:00:00+02:00,97.79,1612.375
2024-01-04 05:00:00+02:00,121.44,1536.95
2024-01-04 06:00:00+02:00,180.21,1515.55
2024-01-04 07:00:00+02:00,300.0,1517.65
2024-01-04 08:00:00+02:00,379.25,1624.1
2024-01-04 09:00:00+02:00,299.99,1691.75
2024-01-04 10:00:00+02:00,300.0,1641.575
2024-01-04 11:00:00+02:00,300.07,1508.325
2024-01-04 12:00:00+02:00,300.0,1476.225
